distritos,n_defunciones,anio
ABANCAY,234,2018
ABELARDOPARDOLEZAM,1,2018
ACARI,18,2018
ACAS,1,2018
ACCHA,25,2018
ACCOMARCA,8,2018
ACHAYA,10,2018
ACHOMA,2,2018
ACO,18,2018
ACOBAMBA,141,2018
ACOBAMBILLA,10,2018
ACOCHACA,18,2018
ACOCRO,24,2018
ACOLLA,50,2018
ACOMAYO,25,2018
ACOPAMPA,16,2018
ACOPIA,19,2018
ACORA,101,2018
ACORIA,119,2018
ACOS,22,2018
ACOSVINCHOS,9,2018
ACOSTAMBO,22,2018
ACRAQUIA,21,2018
ACZO,12,2018
AGALLPAMPA,20,2018
AGUABLANCA,10,2018
AGUASVERDES,64,2018
AHUAC,39,2018
AHUAYCHA,21,2018
AIJA,13,2018
AJOYANI,2,2018
ALBERTOLEVEAU,2,2018
ALCA,6,2018
ALCAMENCA,12,2018
ALEXANDERVONHUMBO,3,2018
ALFONSOUGARTE,4,2018
ALLAUCA,4,2018
ALONSODEALVARADO,41,2018
ALTOBIAVO,12,2018
ALTODELAALIANZA,136,2018
ALTOINAMBARI,29,2018
ALTOLARAN,36,2018
ALTONANAY,5,2018
ALTOPICHIGUA,15,2018
ALTOSAPOSOA,NA,2018
CUADRON,3,2018
DEFUNCIONESREGISTRADASPOR,NA,2018
DISTRITOSSEGNAO,2018,2018
Seleccionecursorsobremapapara,NA,2018
vermayores,NA,2018
detalles,NA,2018
ALTOPICHIGUA,NA,2018
Distrito,NA,2018
ALTOSAPOSOA,13,2018
ALTOSELVAALEGRE,377,2018
ALTOTAPICHE,1,2018
AMANTANI,16,2018
AMARILIS,347,2018
AMASHCA,9,2018
AMBAR,4,2018
AMBO,99,2018
AMOTAPE,14,2018
ANANEA,27,2018
ANAPIA,3,2018
ANCAHUASI,39,2018
ANCHIHUAY,8,2018
ANCHONGA,29,2018
ANCO,55,2018
ANCOHUALLO,47,2018
ANCON,153,2018
ANDABAMBA,21,2018
ANDAGUA,8,2018
ANDAHUAYLAS,107,2018
ANDAHUAYLILLAS,31,2018
ANDAJES,3,2018
ANDAMARCA,21,2018
ANDARAPA,10,2018
ANDARAY,4,2018
ANDAYMARCA,13,2018
ANDOAS,7,2018
ANDRESAVELINOCACER,45,2018
ANGASMARCA,19,2018
ANGUIA,14,2018
ANRA,6,2018
ANTA,125,2018
ANTABAMBA,23,2018
ANTAUTA,20,2018
ANTIOQUIA,8,2018
ANTONIORAIMONDI,7,2018
APARICIOPOMARES,10,2018
APATA,31,2018
APLAO,32,2018
APONGO,4,2018
AQUIA,13,2018
ARAHUAY,3,2018
ARAMANGO,7,2018
ARANCAY,9,2018
ARAPA,67,2018
ARENAL,NA,2018
CUADRON,3,2018
DEFUNCIONESREGISTRADASPOR,NA,2018
DISTRITOSSEGNAO,2018,2018
Seleccionecursorsobremapapara,NA,2018
vermayores,NA,2018
detalles,NA,2018
ARAPA,NA,2018
Distrito,NA,2018
ARENAL,1,2018
AREQUIPA,505,2018
ARMA,7,2018
ASCENSION,48,2018
ASCOPE,36,2018
ASIA,21,2018
ASILLO,90,2018
ASQUIPATA,4,2018
ASUNCION,6,2018
ATAQUERO,11,2018
ATAURA,7,2018
ATAVILLOSALTO,10,2018
ATAVILLOSBAJO,2,2018
ATE,1248,2018
ATICO,8,2018
ATUNCOLLA,17,2018
AUCALLAMA,74,2018
AUCARA,13,2018
AURAHUA,5,2018
AWAJUN,9,2018
AYABACA,70,2018
AYACUCHO,411,2018
AYAHUANCO,4,2018
AYAPATA,30,2018
AYAVI,1,2018
AYAVIRI,166,2018
AYNA,23,2018
AYO,2,2018
AZANGARO,192,2018
BAGUA,16,2018
BAGUAGRANDE,153,2018
BAJOBIAVO,17,2018
BALSAPUERTO,17,2018
BALSAS,3,2018
BAMBAMARCA,223,2018
BAMBAS,3,2018
BAOS,11,2018
BARRANCA,382,2018
BARRANCO,209,2018
BARRANQUITA,22,2018
BELEN,133,2018
BELLAUNION,5,2018
BELLAVISTA,866,2018
BELLAVISTADELAUNION,10,2018
BERNAL,14,2018
BOLIVAR,NA,2018
CUADRON,3,2018
DEFUNCIONESREGISTRADASPOR,NA,2018
DISTRITOSSEGNAO,2018,2018
Seleccionecursorsobremapapara,NA,2018
vermayores,NA,2018
detalles,NA,2018
BERNAL,NA,2018
Distrito,NA,2018
BOLIVAR,15,2018
BOLOGNESI,6,2018
BREA,562,2018
BUENAVISTAALTA,8,2018
BUENOSAIRES,60,2018
BULDIBUYO,13,2018
CABANA,35,2018
CABANACONDE,7,2018
CABANILLA,22,2018
